affordance_id,model,rmse,mae,pearson_r,spearman_rho
L059,LightGBM,0.8139,0.6581,0.696,0.6535
L059,Indicator-LGBM,0.6658,0.5407,0.8005,0.7609
L059,CNN,1.0955,0.9059,0.2132,0.2844
L079,LightGBM,0.7757,0.5455,0.8042,0.5942
L079,Indicator-LGBM,0.5231,0.279,0.9237,0.7295
L079,CNN,1.2437,1.0353,0.2578,0.1913
L091,LightGBM,1.1404,0.7908,-0.1562,-0.0626
L091,Indicator-LGBM,0.8131,0.5837,0.5954,0.5655
L091,CNN,0.9579,0.6695,0.2536,0.2549
L130,LightGBM,0.9785,0.7939,0.5865,0.5857
L130,Indicator-LGBM,0.8127,0.6257,0.724,0.7309
L130,CNN,1.1365,1.0002,0.302,0.2912
L141,LightGBM,1.1751,0.9122,0.403,0.4033
L141,Indicator-LGBM,1.0024,0.7926,0.5816,0.5272
L141,CNN,1.1661,0.8981,0.3056,0.1322
