affordance_id,architecture,learning_rate,lr_label,test_rmse,test_mae,best_val_rmse,best_epoch
L059,resnet18,0.001,1e-03,1.2246,0.9785,1.4208,5
L059,resnet18,0.0005,5e-04,1.2764,1.058,1.4456,6
L059,resnet18,0.0001,1e-04,1.0955,0.9059,1.4235,5
L059,resnet18,5e-05,5e-05,1.1189,0.9002,1.4469,5
L059,resnet50,0.001,1e-03,1.2006,0.9417,1.3815,12
L059,resnet50,0.0005,5e-04,1.1945,0.947,1.4288,6
L059,resnet50,0.0001,1e-04,1.0985,0.8855,1.464,4
L059,resnet50,5e-05,5e-05,1.1568,0.9719,1.4283,4
L079,resnet18,0.001,1e-03,1.3539,1.1092,1.0263,5
L079,resnet18,0.0005,5e-04,1.2437,1.0353,1.0658,5
L079,resnet18,0.0001,1e-04,1.2718,1.0234,1.06,3
L079,resnet18,5e-05,5e-05,1.2926,1.0096,1.0801,5
L079,resnet50,0.001,1e-03,1.3481,1.1259,1.094,5
L079,resnet50,0.0005,5e-04,1.3581,0.9035,1.1128,6
L079,resnet50,0.0001,1e-04,1.2613,0.9946,1.0683,6
L079,resnet50,5e-05,5e-05,1.275,1.0293,1.0667,8
L091,resnet18,0.001,1e-03,1.0725,0.7555,0.7209,18
L091,resnet18,0.0005,5e-04,1.0372,0.7338,0.7916,6
L091,resnet18,0.0001,1e-04,0.9995,0.7158,0.7586,11
L091,resnet18,5e-05,5e-05,0.9579,0.6695,0.7621,11
L091,resnet50,0.001,1e-03,1.0718,0.7482,0.7319,5
L091,resnet50,0.0005,5e-04,1.1423,0.7632,0.7595,10
L091,resnet50,0.0001,1e-04,1.0628,0.7199,0.8069,8
L091,resnet50,5e-05,5e-05,0.9629,0.6734,0.7523,5
L130,resnet18,0.001,1e-03,1.2284,1.0287,0.851,12
L130,resnet18,0.0005,5e-04,1.236,1.0049,0.8179,12
L130,resnet18,0.0001,1e-04,1.1401,0.9859,0.8397,10
L130,resnet18,5e-05,5e-05,1.1872,0.9997,0.855,11
L130,resnet50,0.001,1e-03,1.1492,0.9493,0.8599,15
L130,resnet50,0.0005,5e-04,1.1376,0.9569,0.882,17
L130,resnet50,0.0001,1e-04,1.1659,1.0179,0.8706,15
L130,resnet50,5e-05,5e-05,1.1365,1.0002,0.8803,28
L141,resnet18,0.001,1e-03,1.2413,0.9634,1.2002,13
L141,resnet18,0.0005,5e-04,1.274,0.9476,1.19,14
L141,resnet18,0.0001,1e-04,1.3182,0.9788,1.2316,6
L141,resnet18,5e-05,5e-05,1.2473,0.9232,1.2267,8
L141,resnet50,0.001,1e-03,1.3068,1.018,1.1296,17
L141,resnet50,0.0005,5e-04,1.3228,1.0187,1.2274,9
L141,resnet50,0.0001,1e-04,1.2302,0.97,1.1609,13
L141,resnet50,5e-05,5e-05,1.1661,0.8981,1.2231,6
