affordance_id,affordance_name,model,rmse,rmse_ci_low,rmse_ci_high,mae,mae_ci_low,mae_ci_high,pearson_r,pearson_r_ci_low,pearson_r_ci_high
L059,Sleep,Mean,1.0986,0.9194,1.26,0.8759,0.7318,1.0144,0.0,0.0,0.0
L059,Sleep,LinearRegression,1.0884,0.8236,1.3629,0.7981,0.6534,0.9657,0.6563,0.5624,0.7547
L059,Sleep,LightGBM,0.8139,0.7017,0.9176,0.6581,0.5522,0.7575,0.696,0.572,0.7887
L059,Sleep,Indicator-LGBM,0.6763,0.5722,0.7755,0.551,0.4672,0.6395,0.7943,0.6787,0.8696
L079,Cook,Mean,1.2869,1.0449,1.5379,1.0846,0.944,1.2465,0.0,0.0,0.0
L079,Cook,LinearRegression,1.535,1.0083,2.0481,0.9079,0.679,1.184,0.4279,0.2014,0.6672
L079,Cook,LightGBM,0.7783,0.626,0.9303,0.545,0.428,0.6713,0.8016,0.6692,0.8889
L079,Cook,Indicator-LGBM,0.5231,0.3429,0.6954,0.279,0.191,0.3768,0.9237,0.8589,0.9684
L091,Computer Work,Mean,0.9798,0.7941,1.1412,0.6369,0.478,0.7992,0.0,0.0,0.0
L091,Computer Work,LinearRegression,2.1694,1.306,3.1236,1.2682,0.9452,1.6806,-0.1069,-0.3092,0.0347
L091,Computer Work,LightGBM,1.1404,0.9202,1.3368,0.7908,0.6084,0.977,-0.1562,-0.3781,0.0921
L091,Computer Work,Indicator-LGBM,0.8122,0.6612,0.9534,0.5848,0.4607,0.7115,0.5954,0.4373,0.7247
L130,Conversation,Mean,1.1796,1.0297,1.3224,1.0102,0.8795,1.1419,0.0,0.0,0.0
L130,Conversation,LinearRegression,1.1886,0.9931,1.372,0.9465,0.7929,1.1119,0.5136,0.3281,0.6461
L130,Conversation,LightGBM,0.9776,0.8401,1.1302,0.7902,0.6717,0.9148,0.5867,0.4306,0.7108
L130,Conversation,Indicator-LGBM,0.8127,0.6775,0.9472,0.6257,0.5218,0.7391,0.724,0.6001,0.8115
L141,Yoga/Stretching,Mean,1.2258,1.0263,1.3999,0.9499,0.7905,1.1127,0.0,0.0,0.0
L141,Yoga/Stretching,LinearRegression,1.9793,1.1513,2.8114,1.1922,0.8899,1.5697,0.1629,-0.0458,0.5072
L141,Yoga/Stretching,LightGBM,1.1751,0.9798,1.348,0.9122,0.7471,1.0689,0.403,0.2245,0.5645
L141,Yoga/Stretching,Indicator-LGBM,1.0024,0.8346,1.1424,0.7926,0.6511,0.9318,0.5816,0.4134,0.7176
